"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation","Viz"
"Cwc22",1.69526367975649e-18,-1.26300721056158,0.565,0.869,4.24612693868608e-14,"Cwc22","CGE","PTZvsSAL_24hr","Down","Sig"
"mt-Nd1",4.00486725421661e-07,1.30267137759328,0.636,0.452,0.0100309910116363,"mt-Nd1","CGE","PTZvsSAL_24hr","Up","Sig"
"mt-Co2",4.46456185050745e-07,1.24170273435058,0.678,0.518,0.011182388066966,"mt-Co2","CGE","PTZvsSAL_24hr","Up","Sig"
"mt-Co3",8.76980496047596e-07,1.11229065948023,0.762,0.628,0.0219657304845041,"mt-Co3","CGE","PTZvsSAL_24hr","Up","Sig"
"mt-Nd2",1.11767469560029e-06,1.3777721128296,0.477,0.307,0.0279943981007005,"mt-Nd2","CGE","PTZvsSAL_24hr","Up","Sig"
"mt-Co1",2.21142522248278e-06,1.27332198892948,0.607,0.482,0.0553895675475263,"mt-Co1","CGE","PTZvsSAL_24hr","Up","Sig"
"Tubb2a",1.17244900786448e-05,1.09402524559037,0.519,0.387,0.293663302999815,"Tubb2a","CGE","PTZvsSAL_24hr","Up","Sig"
"Tubb2b",1.71701833582872e-05,1.26672465622038,0.444,0.352,0.43006158257502,"Tubb2b","CGE","PTZvsSAL_24hr","Up","Sig"
"mt-Atp6",6.24062859149854e-05,0.95605706901896,0.687,0.538,1,"mt-Atp6","CGE","PTZvsSAL_24hr","Up","Sig"
"Hmgcll1",9.61993212136476e-05,0.89798992875514,0.444,0.317,1,"Hmgcll1","CGE","PTZvsSAL_24hr","Up","Sig"
"Nol4",0.000103787211909361,-0.690606873407508,0.64,0.829,1,"Nol4","CGE","PTZvsSAL_24hr","Down","Sig"
"Hspa8",0.000197361810639434,1.18213193939014,0.449,0.372,1,"Hspa8","CGE","PTZvsSAL_24hr","Up","Sig"
"Ckb",0.000288592026722094,1.1094463412771,0.355,0.246,1,"Ckb","CGE","PTZvsSAL_24hr","Up","Sig"
"Dalrd3",0.000354324196549676,0.718935418412265,0.547,0.387,1,"Dalrd3","CGE","PTZvsSAL_24hr","Up","Sig"
"Hsp90ab1",0.000474647129561452,0.799675636492441,0.421,0.387,1,"Hsp90ab1","CGE","PTZvsSAL_24hr","Up","Sig"
"Lmtk2",0.000591417803018666,-1.13140626907316,0.187,0.367,1,"Lmtk2","CGE","PTZvsSAL_24hr","Down","Sig"
"Snrnp70",0.000649818634340262,0.54437072812401,0.771,0.719,1,"Snrnp70","CGE","PTZvsSAL_24hr","Up","Sig"
"Tuba1a",0.0006752696441281,0.744992442115484,0.771,0.668,1,"Tuba1a","CGE","PTZvsSAL_24hr","Up","Sig"
"Chd5",0.000781789446383174,1.12146053166095,0.374,0.256,1,"Chd5","CGE","PTZvsSAL_24hr","Up","Sig"
"mt-Cytb",0.00082812396865752,0.899061570017805,0.486,0.317,1,"mt-Cytb","CGE","PTZvsSAL_24hr","Up","Sig"
"Rgs11",0.000920699220037767,1.04380087830978,0.308,0.196,1,"Rgs11","CGE","PTZvsSAL_24hr","Up","Sig"
"Gpi1",0.00103979168041513,0.723458139211532,0.449,0.362,1,"Gpi1","CGE","PTZvsSAL_24hr","Up","Sig"
"Pabpc1",0.0011117110133801,-0.794297139472067,0.262,0.457,1,"Pabpc1","CGE","PTZvsSAL_24hr","Down","Sig"
"Trappc9",0.00127078914153021,-0.775268224284168,0.332,0.508,1,"Trappc9","CGE","PTZvsSAL_24hr","Down","Sig"
"Grid1",0.00130348242939999,0.252798710921393,0.855,0.789,1,"Grid1","CGE","PTZvsSAL_24hr","Up","Sig"
"Gprasp2",0.00143797705825078,1.6675278110061,0.299,0.186,1,"Gprasp2","CGE","PTZvsSAL_24hr","Up","Sig"
"Rad17",0.00145693348766788,-0.795060149105718,0.107,0.251,1,"Rad17","CGE","PTZvsSAL_24hr","Down","Sig"
"Robo1",0.00156708104265565,0.351253132829163,0.935,0.894,1,"Robo1","CGE","PTZvsSAL_24hr","Up","Sig"
"Camkv",0.0021952426958504,1.02813497430342,0.327,0.221,1,"Camkv","CGE","PTZvsSAL_24hr","Up","Sig"
"mt-Nd4",0.00235482356658237,1.05632013248083,0.481,0.362,1,"mt-Nd4","CGE","PTZvsSAL_24hr","Up","Sig"
"Snhg11",0.00258679298219285,0.240809084097996,0.921,0.884,1,"Snhg11","CGE","PTZvsSAL_24hr","Up","Sig"
"Tnpo1",0.00263176452613839,-0.275562339468507,0.388,0.548,1,"Tnpo1","CGE","PTZvsSAL_24hr","Down","Sig"
"Gm26901",0.00279962962573567,-0.858418644887668,0.29,0.472,1,"Gm26901","CGE","PTZvsSAL_24hr","Down","Sig"
"Lgi1",0.00299276200806258,-0.361851527906626,0.341,0.528,1,"Lgi1","CGE","PTZvsSAL_24hr","Down","Sig"
"Ociad1",0.00314262163305132,-0.723749062980226,0.178,0.337,1,"Ociad1","CGE","PTZvsSAL_24hr","Down","Sig"
"Camk2b",0.00331180511369598,0.556812855618453,0.523,0.427,1,"Camk2b","CGE","PTZvsSAL_24hr","Up","Sig"
"Kif1a",0.00332648441179825,0.565975671009126,0.584,0.482,1,"Kif1a","CGE","PTZvsSAL_24hr","Up","Sig"
"Actr1b",0.00334423330146871,1.0659876045584,0.355,0.256,1,"Actr1b","CGE","PTZvsSAL_24hr","Up","Sig"
"Dnajc13",0.00344426696233937,-0.660439101353086,0.299,0.487,1,"Dnajc13","CGE","PTZvsSAL_24hr","Down","Sig"
"Eif4g1",0.00369844625908133,0.569723387873105,0.439,0.317,1,"Eif4g1","CGE","PTZvsSAL_24hr","Up","Sig"
"mt-Nd3",0.00373176325724786,1.06396639476953,0.294,0.206,1,"mt-Nd3","CGE","PTZvsSAL_24hr","Up","Sig"
"Slc25a36",0.00383609134454971,-0.637316297645222,0.374,0.568,1,"Slc25a36","CGE","PTZvsSAL_24hr","Down","Sig"
"Eya3",0.00387647671594793,-1.0280079983553,0.187,0.352,1,"Eya3","CGE","PTZvsSAL_24hr","Down","Sig"
"Dvl1",0.00393754735426512,0.739525200438558,0.477,0.357,1,"Dvl1","CGE","PTZvsSAL_24hr","Up","Sig"
"Dync1i1",0.00410898202779532,-0.648396717118981,0.589,0.719,1,"Dync1i1","CGE","PTZvsSAL_24hr","Down","Sig"
"Acat1",0.00430040665710995,0.720454953972393,0.336,0.236,1,"Acat1","CGE","PTZvsSAL_24hr","Up","Sig"
"Csnk2a2",0.00447498579372232,-0.972413825430455,0.22,0.382,1,"Csnk2a2","CGE","PTZvsSAL_24hr","Down","Sig"
"Hdgfl3",0.00474445166828401,-0.502632838439676,0.43,0.568,1,"Hdgfl3","CGE","PTZvsSAL_24hr","Down","Sig"
"Itsn1",0.00570994753079473,-0.420661465540156,0.551,0.734,1,"Itsn1","CGE","PTZvsSAL_24hr","Down","Sig"
"Sf3b1",0.00579963140484898,-0.668034422851154,0.416,0.598,1,"Sf3b1","CGE","PTZvsSAL_24hr","Down","Sig"
"Gm42418",0.00596830593824631,-0.261389088221759,0.967,0.99,1,"Gm42418","CGE","PTZvsSAL_24hr","Down","Sig"
"Cntn4",0.00621721349761283,0.308356466193818,0.631,0.518,1,"Cntn4","CGE","PTZvsSAL_24hr","Up","Sig"
"Actb",0.00655239086564,0.958859219577928,0.495,0.392,1,"Actb","CGE","PTZvsSAL_24hr","Up","Sig"
"Plppr4",0.00684917725007472,0.549953645824189,0.547,0.497,1,"Plppr4","CGE","PTZvsSAL_24hr","Up","Sig"
"Gm15398",0.00759998447743264,-0.402935719003583,0.145,0.266,1,"Gm15398","CGE","PTZvsSAL_24hr","Down","Sig"
"Sltm",0.00774199309352374,0.635610432413607,0.519,0.457,1,"Sltm","CGE","PTZvsSAL_24hr","Up","Sig"
"Car10",0.00791287205343016,-0.534196431436641,0.458,0.487,1,"Car10","CGE","PTZvsSAL_24hr","Down","Sig"
"Nup93",0.00847526391297605,0.81690438578037,0.262,0.231,1,"Nup93","CGE","PTZvsSAL_24hr","Up","Sig"
"Casc4",0.00893125616468184,-0.475429095762182,0.364,0.543,1,"Casc4","CGE","PTZvsSAL_24hr","Down","Sig"
"Mat2a",0.00899903463473167,-0.706714552556608,0.336,0.508,1,"Mat2a","CGE","PTZvsSAL_24hr","Down","Sig"
"Cox7b",0.0093033549329399,0.745366942869198,0.453,0.392,1,"Cox7b","CGE","PTZvsSAL_24hr","Up","Sig"
"Gm47283",0.00971284362218059,0.754229983544428,0.491,0.417,1,"Gm47283","CGE","PTZvsSAL_24hr","Up","Sig"
"Ppp2r3a",0.0113717911476332,-0.613263055263103,0.355,0.518,1,"Ppp2r3a","CGE","PTZvsSAL_24hr","Down","Sig"
"Tnrc18",0.0113812123648841,0.510918576487537,0.551,0.462,1,"Tnrc18","CGE","PTZvsSAL_24hr","Up","Sig"
"Rsrc2",0.0114826445112854,-0.632764555976052,0.341,0.513,1,"Rsrc2","CGE","PTZvsSAL_24hr","Down","Sig"
"Ctnna2",0.0115689435676631,-0.200292006952593,0.995,0.99,1,"Ctnna2","CGE","PTZvsSAL_24hr","Down","Sig"
"Lin7a",0.0117742806094879,0.344527006841145,0.257,0.191,1,"Lin7a","CGE","PTZvsSAL_24hr","Up","Sig"
"Aak1",0.0118207090330707,-0.208512725714582,0.617,0.633,1,"Aak1","CGE","PTZvsSAL_24hr","Down","Sig"
"Ash1l",0.0118575368500466,-0.469462279472171,0.528,0.663,1,"Ash1l","CGE","PTZvsSAL_24hr","Down","Sig"
"Lrrtm3",0.0118684728748173,-0.276354007332251,0.668,0.648,1,"Lrrtm3","CGE","PTZvsSAL_24hr","Down","Sig"
"Ezh2",0.0120822361202133,-0.887856755557592,0.215,0.367,1,"Ezh2","CGE","PTZvsSAL_24hr","Down","Sig"
"Setbp1",0.0124513859671382,-0.284413155091322,0.808,0.92,1,"Setbp1","CGE","PTZvsSAL_24hr","Down","Sig"
"Srsf11",0.0132391769698826,-0.418043007821955,0.528,0.583,1,"Srsf11","CGE","PTZvsSAL_24hr","Down","Sig"
"Kcnb2",0.013566398656539,-0.299589998034169,0.874,0.905,1,"Kcnb2","CGE","PTZvsSAL_24hr","Down","Sig"
"Jak1",0.0136874971290573,0.62745199117113,0.285,0.211,1,"Jak1","CGE","PTZvsSAL_24hr","Up","Sig"
"Eml5",0.0141853397844397,-0.395429131068521,0.664,0.714,1,"Eml5","CGE","PTZvsSAL_24hr","Down","Sig"
"Actg1",0.0142766792496342,0.89686959457701,0.332,0.266,1,"Actg1","CGE","PTZvsSAL_24hr","Up","Sig"
"Gm49678",0.0161650054393839,0.554619389805734,0.29,0.221,1,"Gm49678","CGE","PTZvsSAL_24hr","Up","Sig"
"Usp4",0.0161726851289772,0.705798765520372,0.336,0.251,1,"Usp4","CGE","PTZvsSAL_24hr","Up","Sig"
"Cyld",0.0169007116272854,-0.771048603934221,0.234,0.362,1,"Cyld","CGE","PTZvsSAL_24hr","Down","Sig"
"Col4a2",0.0173508290503149,0.795320209356976,0.407,0.317,1,"Col4a2","CGE","PTZvsSAL_24hr","Up","Sig"
